1.317145833,1
1.941479167,2
2.566479167,3
3.191479167,4
3.816479167,1
4.441479167,2
5.066479167,3
5.691479167,4
6.316479167,1
6.941479167,2
7.566479167,3
8.191479167,4
8.816479167,1
9.441479167,2
10.066479167,3
10.6908125,4
11.2885,1
11.912833333,2
12.537833333,3
13.162833333,4
13.787833333,1
14.412833333,2
15.037833333,3
15.662833333,4
16.287833333,1
16.912833333,2
17.537833333,3
18.162833333,4
18.787833333,1
19.412833333,2
20.037833333,3
20.662833333,4
21.287166667,1
21.912166667,2
22.537166667,3
23.162166667,4
23.787166667,1
24.412166667,2
25.037166667,3
25.662166667,4
26.287833333,1
26.912833333,2
27.537833333,3
28.162833333,4
28.787833333,1
29.412833333,2
30.037833333,3
30.662833333,4
31.287833333,1
31.912833333,2
32.537833333,3
33.162833333,4
33.787833333,1
34.412833333,2
35.037833333,3
35.662833333,4
36.287833333,1
36.912833333,2
37.537833333,3
38.162833333,4
38.787833333,1
39.412833333,2
40.037833333,3
40.662833333,4
41.287833333,1
41.912833333,2
42.537833333,3
43.162833333,4
43.787833333,1
44.412833333,2
45.037833333,3
45.662833333,4
46.287833333,1
46.912833333,2
47.537833333,3
48.162833333,4
48.787833333,1
49.412833333,2
50.037833333,3
50.662833333,4
51.287833333,1
51.912833333,2
52.537833333,3
53.162833333,4
53.787833333,1
54.412833333,2
55.037833333,3
55.662833333,4
56.287833333,1
56.912833333,2
57.537833333,3
58.162833333,4
58.787833333,1
59.412833333,2
60.037833333,3
60.662833333,4
61.287833333,1
61.912833333,2
62.537833333,3
63.162833333,4
63.787833333,1
64.412833333,2
65.037833333,3
65.662833333,4
66.287833333,1
66.912833333,2
67.537833333,3
68.162833333,4
68.787833333,1
69.412833333,2
70.037833333,3
70.662833333,4
71.287833333,1
71.912833333,2
72.537833333,3
73.162833333,4
73.787833333,1
74.412833333,2
75.037833333,3
75.662833333,4
76.287833333,1
76.912833333,2
77.537833333,3
78.162833333,4
78.787833333,1
79.412833333,2
80.037833333,3
80.662833333,4
81.287833333,1
81.912833333,2
82.537833333,3
83.162833333,4
83.787833333,1
84.412833333,2
85.037833333,3
85.662833333,4
86.287833333,1
86.912833333,2
87.537833333,3
88.162833333,4
88.787833333,1
89.412833333,2
90.037833333,3
90.662833333,4
91.287833333,1
91.912833333,2
92.537833333,3
93.162833333,4
93.787833333,1
94.412833333,2
95.037833333,3
95.662833333,4
96.287833333,1
96.912833333,2
97.537833333,3
98.162833333,4
98.787833333,1
99.412833333,2
100.037833333,3
100.662833333,4
101.287833333,1
101.912833333,2
102.537833333,3
103.162833333,4
103.787833333,1
104.412833333,2
105.037833333,3
105.662833333,4
106.287833333,1
106.912833333,2
107.537833333,3
108.162833333,4
108.787833333,1
109.412833333,2
110.037833333,3
110.662833333,4
111.287833333,1
111.912833333,2
112.537833333,3
113.162833333,4
123.787833333,1
124.412833333,2
125.037833333,3
125.662833333,4
126.287833333,1
126.912833333,2
127.537833333,3
128.162833333,4
128.787833333,1
129.412833333,2
130.037833333,3
130.662833333,4
131.287833333,1
131.912833333,2
132.537833333,3
133.162833333,4
133.787833333,1
134.412833333,2
135.037833333,3
135.662833333,4
136.287833333,1
136.912833333,2
137.537833333,3
138.162833333,4
138.787833333,1
139.412833333,2
140.037833333,3
140.662833333,4
141.287833333,1
141.912833333,2
142.537833333,3
143.162833333,4
143.787833333,1
144.412833333,2
145.037833333,3
